# NroServico	NmeServico (FUSEX — RX/US/TC/RM)
40901386	DOPPLER COLORIDO DE ÓRGÃO OU ESTRUTURA ISOLADA
40901394	DOPPLER COLORIDO DE AORTA E ARTÉRIAS RENAIS
40901408	DOPPLER COLORIDO DE AORTA E ILÍACAS
40901416	DOPPLER COLORIDO DE ARTÉRIAS VISCERAIS (MESENTÉRICAS SUPERIOR E INFERIOR E TRONCO CELÍACO)
40901424	DOPPLER COLORIDO DE HEMANGIOMA
40901432	DOPPLER COLORIDO DE VEIA CAVA SUPERIOR OU INFERIOR
40901459	DOPPLER COLORIDO ARTERIAL DE MEMBRO SUPERIOR - UNILATERAL
40901467	DOPPLER COLORIDO VENOSO DE MEMBRO SUPERIOR - UNILATERAL
40901475	DOPPLER COLORIDO ARTERIAL DE MEMBRO INFERIOR - UNILATERAL
40901483	DOPPLER COLORIDO VENOSO DE MEMBRO INFERIOR - UNILATERAL
40901513	DOPPLER COLORIDO DE ARTÉRIAS PENIANAS (SEM FÁRMACO INDUÇÃO)
40901530	ULTRASSONOGRAFIA DIAGNÓSTICA - MONOCULAR
40901548	DOPPLER CONVENCIONAL ÓRGÃO/ESTRUTURA ISOLADA
40901572	ULTRASSOM COM DOPPLER ABDÔME TOTAL E PELVE FEMININO
40901610	US - CRÂNIO PARA CRIANÇA
40901661	US - ECODOPPLER DE CARÓTIDAS
40901742	US - TRANSRETAL RADIAL
40901750	US - PRÓSTATA (VIA ABDOMINAL)
40901769	US - APARELHO URINÁRIO (RINS, URETERES E BEXIGA)
40901858	US - PESQUISA DE ENDOMETRIOSE
41001010	TC - CRÂNIO OU SELA TÚRCICA OU ÓRBITAS
41001028	TC - MASTÓIDES OU ORELHAS
41001036	TC - FACE OU SEIOS DA FACE
41001044	TC - ARTICULAÇÕES TEMPOROMANDIBULARES
41001060	TC - PESCOÇO (PARTES MOLES, LARINGE, TIREÓIDE, FARINGE E GLÂNDULAS SALIVARES)
41001079	TC - TÓRAX
41001095	TC - ABDOME TOTAL (ABDOME SUPERIOR, PELVE E RETROPERITÔNIO)
41001109	TC - ABDOME SUPERIOR
41001117	TC - PELVE OU BACIA
41001125	TC - COLUNA CERVICAL OU DORSAL OU LOMBO-SACRA (ATÉ 3 SEGMENTOS)
41001133	TC - COLUNA - SEGMENTO ADICIONAL
41001141	TC - ARTICULAÇÃO (ESTERNOCLAVICULAR OU OMBRO OU COTOVELO OU PUNHO OU SACROILÍACAS OU COXOFEMORAL OU JOELHO OU TORNOZELO) - UNILATERAL
41001150	TC - SEGMENTO APENDICULAR (BRAÇO OU ANTEBRAÇO OU MÃO OU COXA OU PERNA OU PÉ) - UNILATERAL
41001176	ANGIOTOMOGRAFIA DE AORTA TORÁCICA
41001184	ANGIOTOMOGRAFIA DE AORTA ABDOMINAL
41001273	TC - MANDÍBULA
41001281	TC - MAXILAR
41001370	ANGIOTOMOGRAFIA ARTERIAL DE CRÂNIO
41001389	ANGIOTOMOGRAFIA VENOSA DE CRÂNIO
41001397	ANGIOTOMOGRAFIA ARTERIAL DE PESCOÇO
41001400	ANGIOTOMOGRAFIA VENOSA DE PESCOÇO
41001419	ANGIOTOMOGRAFIA ARTERIAL DE TÓRAX
41001427	ANGIOTOMOGRAFIA VENOSA DE TÓRAX
41001451	ANGIOTOMOGRAFIA ARTERIAL DE PELVE
41001460	ANGIOTOMOGRAFIA VENOSA DE PELVE
41001516	ANGIOTOMOGRAFIA ARTERIAL PULMONAR
41001524	ANGIOTOMOGRAFIA VENOSA PULMONAR
41002040	TC - PUNÇÃO PARA INTRODUÇÃO DE CONTRASTE (ACRESCENTAR O EXAME DE BASE)
41101014	RM - CRÂNIO (ENCÉFALO)
41101022	RM - SELA TÚRCICA (HIPÓFISE)
41101030	RM - BASE DO CRÂNIO
41101057	PERFUSÃO CEREBRAL POR RM
41101065	ESPECTROSCOPIA POR RM
41101073	RM - ÓRBITA BILATERAL
41101081	RM - OSSOS TEMPORAIS BILATERAL
41101090	RM - FACE (INCLUI SEIOS DA FACE)
41101103	RM - ARTICULAÇÃO TEMPOROMANDIBULAR (BILATERAL)
41101111	RM - PESCOÇO (NASOFARINGE, OROFARINGE, LARINGE, TRAQUÉIA, TIREÓIDE, PARATIREÓIDE)
41101120	RM - TÓRAX (MEDIASTINO, PULMÃO, PAREDE TORÁCICA)
41101138	RM - CORAÇÃO - MORFOLÓGICO E FUNCIONAL
41101170	RM - ABDOME SUPERIOR (FÍGADO, PÂNCREAS, BAÇO, RINS, SUPRA-RENAIS, RETROPERITÔNIO)
41101189	RM - PELVE (NÃO INCLUI ARTICULAÇÕES COXOFEMORAIS)
41101197	RM - FETAL
41101200	RM - PÊNIS
41101219	RM - BOLSA ESCROTAL
41101227	RM - COLUNA CERVICAL OU DORSAL OU LOMBAR
41101235	RM - FLUXO LIQUÓRICO (COMO COMPLEMENTAR)
41101243	RM - PLEXO BRAQUIAL (DESFILADEIRO TORÁCICO) OU LOMBOSSACRAL (NÃO INCLUI COLUNA CERVICAL OU LOMBAR)
41101251	RM - MEMBRO SUPERIOR UNILATERAL (NÃO INCLUI MÃO E ARTICULAÇÕES)
41101260	RM - MÃO (NÃO INCLUI PUNHO)
41101278	RM - BACIA (ARTICULAÇÕES SACROILÍACAS)
41101286	RM - COXA (UNILATERAL)
41101294	RM - PERNA (UNILATERAL)
41101308	RM - PÉ (ANTEPÉ) - NÃO INCLUI TORNOZELO
41101316	RM - ARTICULAR (POR ARTICULAÇÃO)
41101332	ANGIO-RM DE AORTA TORÁCICA
41101340	ANGIO-RM DE AORTA ABDOMINAL
41101359	HIDRO-RM (COLÂNGIO-RM OU URO-RM OU MIELO-RM OU SIALO-RM OU CISTOGRAFIA POR RM)
41101472	RM - PLANEJAMENTO
41101480	RM - MAMA (BILATERAL)
41101499	ANGIO-RM ARTERIAL PULMONAR
41101502	ANGIO-RM VENOSA PULMONAR
41101510	ANGIO-RM ARTERIAL DE ABDOME SUPERIOR
41101529	ANGIO-RM VENOSA DE ABDOME SUPERIOR
41101537	ANGIO-RM ARTERIAL DE CRÂNIO
41101545	ANGIO-RM VENOSA DE CRÂNIO
41101553	ANGIO-RM ARTERIAL DE MEMBRO INFERIOR (UNILATERAL)
41101596	ANGIO-RM ARTERIAL DE PELVE
41101600	ANGIO-RM VENOSA DE PELVE
41101618	ANGIO-RM ARTERIAL DE PESCOÇO
41101626	ANGIO-RM VENOSA DE PESCOÇO
